,duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
0,135.487944,400.0,0.0,0.0,16.0,1296.0,0.0,0.0
3,3.134965,0.0,0.0,0.0,3.0,180.0,0.0,0.0
4,3.154481,0.0,0.0,0.0,3.0,180.0,0.0,0.0
5,3.149947,0.0,0.0,0.0,3.0,180.0,0.0,0.0
7,3.14518,0.0,0.0,0.0,3.0,180.0,0.0,0.0
8,3.095293,0.0,0.0,0.0,3.0,180.0,0.0,0.0
9,3.146187,0.0,0.0,0.0,3.0,180.0,0.0,0.0
11,0.162158,48.0,48.0,0.0,1.0,76.0,1.0,76.0
13,3.101241,0.0,0.0,0.0,3.0,180.0,0.0,0.0
15,3.140697,0.0,0.0,0.0,3.0,180.0,0.0,0.0
16,3.101491,0.0,0.0,0.0,3.0,180.0,0.0,0.0
17,3.147194,0.0,0.0,0.0,3.0,180.0,0.0,0.0
19,3.087461,0.0,0.0,0.0,3.0,180.0,0.0,0.0
22,3.103,0.0,0.0,0.0,3.0,180.0,0.0,0.0
27,3.142198,0.0,0.0,0.0,3.0,180.0,0.0,0.0
28,3.114519,0.0,0.0,0.0,3.0,180.0,0.0,0.0
30,3.082712,0.0,0.0,0.0,3.0,180.0,0.0,0.0
31,3.094298,0.0,0.0,0.0,3.0,180.0,0.0,0.0
32,3.109238,0.0,0.0,0.0,3.0,180.0,0.0,0.0
36,3.144426,0.0,0.0,0.0,3.0,180.0,0.0,0.0
40,7.008045,804.0,0.0,0.0,4.0,916.0,0.0,0.0
41,3.133228,0.0,0.0,0.0,3.0,180.0,0.0,0.0
45,0.012737,48.0,48.0,0.0,1.0,76.0,1.0,76.0
46,3.141703,0.0,0.0,0.0,3.0,180.0,0.0,0.0
49,3.13698,0.0,0.0,0.0,3.0,180.0,0.0,0.0
50,3.1142,0.0,0.0,0.0,3.0,180.0,0.0,0.0
52,3.124486,0.0,0.0,0.0,3.0,180.0,0.0,0.0
53,3.087957,0.0,0.0,0.0,3.0,180.0,0.0,0.0
54,3.155481,0.0,0.0,0.0,3.0,180.0,0.0,0.0
59,3.083814,0.0,0.0,0.0,3.0,180.0,0.0,0.0
60,3.145762,0.0,0.0,0.0,3.0,180.0,0.0,0.0
61,3.1115,0.0,0.0,0.0,3.0,180.0,0.0,0.0
62,3.120455,0.0,0.0,0.0,3.0,180.0,0.0,0.0
65,3.143978,0.0,0.0,0.0,3.0,180.0,0.0,0.0
66,0.313423,157.0,371.0,0.0,4.0,337.0,4.0,539.0
71,3.128737,0.0,0.0,0.0,3.0,180.0,0.0,0.0
72,3.13223,0.0,0.0,0.0,3.0,180.0,0.0,0.0
74,3.154692,0.0,0.0,0.0,3.0,180.0,0.0,0.0
76,0.009989,48.0,48.0,0.0,1.0,76.0,1.0,76.0
79,3.095504,0.0,0.0,0.0,3.0,180.0,0.0,0.0
82,3.117455,0.0,0.0,0.0,3.0,180.0,0.0,0.0
88,0.106937,34.0,297.0,0.0,1.0,62.0,1.0,325.0
89,3.139707,0.0,0.0,0.0,3.0,180.0,0.0,0.0
92,3.085985,0.0,0.0,0.0,3.0,180.0,0.0,0.0
97,3.141923,0.0,0.0,0.0,3.0,180.0,0.0,0.0
98,59.829478,3000.0,0.0,0.0,10.0,3280.0,0.0,0.0
99,0.274839,48.0,48.0,0.0,1.0,76.0,1.0,76.0
102,3.142251,0.0,0.0,0.0,3.0,180.0,0.0,0.0
104,3.122941,0.0,0.0,0.0,3.0,180.0,0.0,0.0
105,3.155181,0.0,0.0,0.0,3.0,180.0,0.0,0.0
106,2.069831,67.0,233.0,0.0,8.0,511.0,7.0,605.0
108,3.158457,0.0,0.0,0.0,3.0,180.0,0.0,0.0
109,3.142525,0.0,0.0,0.0,3.0,180.0,0.0,0.0
112,3.158722,0.0,0.0,0.0,3.0,180.0,0.0,0.0
114,3.119717,0.0,0.0,0.0,3.0,180.0,0.0,0.0
115,0.01524,29.0,45.0,0.0,1.0,57.0,1.0,73.0
118,3.124679,0.0,0.0,0.0,3.0,180.0,0.0,0.0
120,3.155459,0.0,0.0,0.0,3.0,180.0,0.0,0.0
122,3.107261,0.0,0.0,0.0,3.0,180.0,0.0,0.0
123,3.144491,0.0,0.0,0.0,3.0,180.0,0.0,0.0
126,3.123997,0.0,0.0,0.0,3.0,180.0,0.0,0.0
129,0.042209,48.0,48.0,0.0,1.0,76.0,1.0,76.0
130,3.153694,0.0,0.0,0.0,3.0,180.0,0.0,0.0
133,3.099462,0.0,0.0,0.0,3.0,180.0,0.0,0.0
134,3.133971,0.0,0.0,0.0,3.0,180.0,0.0,0.0
135,3.101214,0.0,0.0,0.0,3.0,180.0,0.0,0.0
138,3.117245,0.0,0.0,0.0,3.0,180.0,0.0,0.0
139,3.096288,0.0,0.0,0.0,3.0,180.0,0.0,0.0
141,3.121768,0.0,0.0,0.0,3.0,180.0,0.0,0.0
143,3.147202,0.0,0.0,0.0,3.0,180.0,0.0,0.0
144,3.127194,0.0,0.0,0.0,3.0,180.0,0.0,0.0
146,3.110772,0.0,0.0,0.0,3.0,180.0,0.0,0.0
152,3.114695,0.0,0.0,0.0,3.0,180.0,0.0,0.0
158,3.086979,0.0,0.0,0.0,3.0,180.0,0.0,0.0
160,3.141702,0.0,0.0,0.0,3.0,180.0,0.0,0.0
161,0.002254,96.0,96.0,0.0,2.0,152.0,2.0,152.0
162,3.134721,0.0,0.0,0.0,3.0,180.0,0.0,0.0
163,0.061655,46.0,110.0,0.0,1.0,74.0,1.0,138.0
164,3.08252,0.0,0.0,0.0,3.0,180.0,0.0,0.0
166,3.087979,0.0,0.0,0.0,3.0,180.0,0.0,0.0
173,3.109968,0.0,0.0,0.0,3.0,180.0,0.0,0.0
174,3.116475,0.0,0.0,0.0,3.0,180.0,0.0,0.0
176,0.254862,0.0,0.0,0.0,2.0,80.0,2.0,80.0
180,3.104451,0.0,0.0,0.0,3.0,180.0,0.0,0.0
183,3.143454,0.0,0.0,0.0,3.0,180.0,0.0,0.0
184,3.083527,0.0,0.0,0.0,3.0,180.0,0.0,0.0
187,10.007041,576.0,576.0,0.0,12.0,912.0,12.0,912.0
189,59.195504,3000.0,0.0,0.0,10.0,3280.0,0.0,0.0
194,3.093959,0.0,0.0,0.0,3.0,180.0,0.0,0.0
195,3.127234,0.0,0.0,0.0,3.0,180.0,0.0,0.0
199,3.113497,0.0,0.0,0.0,3.0,180.0,0.0,0.0
201,0.088431,0.0,0.0,0.0,2.0,80.0,2.0,80.0
203,3.124706,0.0,0.0,0.0,3.0,180.0,0.0,0.0
206,0.075706,48.0,48.0,0.0,1.0,76.0,1.0,76.0
207,3.153741,0.0,0.0,0.0,3.0,180.0,0.0,0.0
208,3.101265,0.0,0.0,0.0,3.0,180.0,0.0,0.0
210,3.081525,0.0,0.0,0.0,3.0,180.0,0.0,0.0
211,3.113224,0.0,0.0,0.0,3.0,180.0,0.0,0.0
212,3.145251,0.0,0.0,0.0,3.0,180.0,0.0,0.0
214,3.137184,0.0,0.0,0.0,3.0,180.0,0.0,0.0
215,3.132725,0.0,0.0,0.0,3.0,180.0,0.0,0.0
219,3.101984,0.0,0.0,0.0,3.0,180.0,0.0,0.0
220,0.00173,48.0,48.0,0.0,1.0,76.0,1.0,76.0
221,3.118535,0.0,0.0,0.0,3.0,180.0,0.0,0.0
224,70.008798,384.0,384.0,0.0,8.0,608.0,8.0,608.0
227,2.072317,67.0,233.0,0.0,8.0,511.0,7.0,605.0
233,3.091012,0.0,0.0,0.0,3.0,180.0,0.0,0.0
234,3.13298,0.0,0.0,0.0,3.0,180.0,0.0,0.0
235,32.005318,318.0,0.0,0.0,3.0,402.0,0.0,0.0
237,3.106524,0.0,0.0,0.0,3.0,180.0,0.0,0.0
238,3.157251,0.0,0.0,0.0,3.0,180.0,0.0,0.0
240,3.124499,0.0,0.0,0.0,3.0,180.0,0.0,0.0
241,3.106277,0.0,0.0,0.0,3.0,180.0,0.0,0.0
245,3.119211,0.0,0.0,0.0,3.0,180.0,0.0,0.0
247,0.102691,48.0,48.0,0.0,1.0,76.0,1.0,76.0
250,3.156209,0.0,0.0,0.0,3.0,180.0,0.0,0.0
251,0.002979,39.0,55.0,0.0,1.0,67.0,1.0,83.0
252,0.008495,48.0,48.0,0.0,1.0,76.0,1.0,76.0
255,4.039449,67.0,233.0,0.0,10.0,623.0,6.0,553.0
257,3.104984,0.0,0.0,0.0,3.0,180.0,0.0,0.0
258,3.102538,0.0,0.0,0.0,3.0,180.0,0.0,0.0
260,3.155212,0.0,0.0,0.0,3.0,180.0,0.0,0.0
261,5.005179,78.0,0.0,0.0,2.0,134.0,0.0,0.0
262,3.118195,0.0,0.0,0.0,3.0,180.0,0.0,0.0
265,3.101529,0.0,0.0,0.0,3.0,180.0,0.0,0.0
269,3.159949,0.0,0.0,0.0,3.0,180.0,0.0,0.0
270,3.091554,0.0,0.0,0.0,3.0,180.0,0.0,0.0
271,3.110983,0.0,0.0,0.0,3.0,180.0,0.0,0.0
272,3.137733,0.0,0.0,0.0,3.0,180.0,0.0,0.0
278,0.009991,29.0,45.0,0.0,1.0,57.0,1.0,73.0
280,3.106468,0.0,0.0,0.0,3.0,180.0,0.0,0.0
282,3.159945,0.0,0.0,0.0,3.0,180.0,0.0,0.0
283,3.113959,0.0,0.0,0.0,3.0,180.0,0.0,0.0
284,48.042781,12910.0,4865.0,0.0,25.0,13954.0,20.0,6121.0
285,0.005263,96.0,96.0,0.0,2.0,152.0,2.0,152.0
287,3.158173,0.0,0.0,0.0,3.0,180.0,0.0,0.0
288,3.158953,0.0,0.0,0.0,3.0,180.0,0.0,0.0
290,3.155178,0.0,0.0,0.0,3.0,180.0,0.0,0.0
291,0.009522,46.0,62.0,0.0,1.0,74.0,1.0,90.0
293,3.145443,0.0,0.0,0.0,3.0,180.0,0.0,0.0
294,3.109987,0.0,0.0,0.0,3.0,180.0,0.0,0.0
295,3.135232,0.0,0.0,0.0,3.0,180.0,0.0,0.0
297,35.005323,318.0,0.0,0.0,3.0,402.0,0.0,0.0
301,3.101471,0.0,0.0,0.0,3.0,180.0,0.0,0.0
304,0.312322,0.0,0.0,0.0,1.0,40.0,1.0,40.0
306,5.026872,128.0,216.0,0.0,4.0,240.0,3.0,300.0
309,3.082986,0.0,0.0,0.0,3.0,180.0,0.0,0.0
313,3.152748,0.0,0.0,0.0,3.0,180.0,0.0,0.0
314,3.134704,0.0,0.0,0.0,3.0,180.0,0.0,0.0
316,300.125027,292.0,775.0,0.0,8.0,632.0,6.0,1027.0
319,3.091217,0.0,0.0,0.0,3.0,180.0,0.0,0.0
320,3.144261,0.0,0.0,0.0,3.0,180.0,0.0,0.0
322,3.128694,0.0,0.0,0.0,3.0,180.0,0.0,0.0
323,3.130497,0.0,0.0,0.0,3.0,180.0,0.0,0.0
325,3.100218,0.0,0.0,0.0,3.0,180.0,0.0,0.0
330,3.159234,0.0,0.0,0.0,3.0,180.0,0.0,0.0
333,135.856688,96.0,0.0,0.0,4.0,288.0,0.0,0.0
336,5.075613,78.0,103.0,0.0,2.0,134.0,1.0,131.0
337,3.139514,0.0,0.0,0.0,3.0,180.0,0.0,0.0
338,3.1567,0.0,0.0,0.0,3.0,180.0,0.0,0.0
340,0.103444,48.0,48.0,0.0,1.0,76.0,1.0,76.0
341,3.157988,0.0,0.0,0.0,3.0,180.0,0.0,0.0
342,3.127697,0.0,0.0,0.0,3.0,180.0,0.0,0.0
350,0.002754,29.0,45.0,0.0,1.0,57.0,1.0,73.0
351,3.086993,0.0,0.0,0.0,3.0,180.0,0.0,0.0
353,3.08275,0.0,0.0,0.0,3.0,180.0,0.0,0.0
354,3.137991,0.0,0.0,0.0,3.0,180.0,0.0,0.0
356,0.10099,283.0,0.0,0.0,2.0,339.0,0.0,0.0
357,3.133504,0.0,0.0,0.0,3.0,180.0,0.0,0.0
358,3.100975,0.0,0.0,0.0,3.0,180.0,0.0,0.0
360,3.142426,0.0,0.0,0.0,3.0,180.0,0.0,0.0
361,3.13249,0.0,0.0,0.0,3.0,180.0,0.0,0.0
362,0.005245,96.0,96.0,0.0,2.0,152.0,2.0,152.0
366,3.110954,0.0,0.0,0.0,3.0,180.0,0.0,0.0
367,3.139449,0.0,0.0,0.0,3.0,180.0,0.0,0.0
368,3.086965,0.0,0.0,0.0,3.0,180.0,0.0,0.0
370,2.253751,1798.0,0.0,0.0,8.0,2022.0,0.0,0.0
373,3.098482,0.0,0.0,0.0,3.0,180.0,0.0,0.0
380,3.128771,0.0,0.0,0.0,3.0,180.0,0.0,0.0
381,3.133021,0.0,0.0,0.0,3.0,180.0,0.0,0.0
384,3.118713,0.0,0.0,0.0,3.0,180.0,0.0,0.0
389,3.095194,0.0,0.0,0.0,3.0,180.0,0.0,0.0
391,3.137183,0.0,0.0,0.0,3.0,180.0,0.0,0.0
392,3.129224,0.0,0.0,0.0,3.0,180.0,0.0,0.0
393,3.104521,0.0,0.0,0.0,3.0,180.0,0.0,0.0
394,3.12169,0.0,0.0,0.0,3.0,180.0,0.0,0.0
395,16.003133,212.0,0.0,0.0,2.0,268.0,0.0,0.0
396,4.202575,67.0,233.0,0.0,9.0,559.0,6.0,553.0
397,0.016489,48.0,48.0,0.0,1.0,76.0,1.0,76.0
398,3.150521,0.0,0.0,0.0,3.0,180.0,0.0,0.0
399,3.099209,0.0,0.0,0.0,3.0,180.0,0.0,0.0
400,0.038477,48.0,48.0,0.0,1.0,76.0,1.0,76.0
402,0.000877,36.0,68.0,0.0,1.0,64.0,1.0,96.0
406,3.136987,0.0,0.0,0.0,3.0,180.0,0.0,0.0
411,34.000163,636.0,0.0,0.0,6.0,804.0,0.0,0.0
412,4.072443,67.0,233.0,0.0,9.0,559.0,6.0,553.0
415,1.075892,67.0,233.0,0.0,7.0,451.0,7.0,605.0
417,1e-05,120.0,0.0,0.0,2.0,176.0,0.0,0.0
420,0.093456,48.0,48.0,0.0,1.0,76.0,1.0,76.0
427,3.144228,0.0,0.0,0.0,3.0,180.0,0.0,0.0
429,3.155386,0.0,0.0,0.0,3.0,180.0,0.0,0.0
430,3.095459,0.0,0.0,0.0,3.0,180.0,0.0,0.0
436,3.127952,0.0,0.0,0.0,3.0,180.0,0.0,0.0
437,3.118206,0.0,0.0,0.0,3.0,180.0,0.0,0.0
438,3.103729,0.0,0.0,0.0,3.0,180.0,0.0,0.0
439,3.11776,0.0,0.0,0.0,3.0,180.0,0.0,0.0
443,3.116258,0.0,0.0,0.0,3.0,180.0,0.0,0.0
446,3.120735,0.0,0.0,0.0,3.0,180.0,0.0,0.0
450,10.653933,53.0,163.0,0.0,18.0,793.0,17.0,855.0
451,3.149728,0.0,0.0,0.0,3.0,180.0,0.0,0.0
453,3.140743,0.0,0.0,0.0,3.0,180.0,0.0,0.0
454,3.129229,0.0,0.0,0.0,3.0,180.0,0.0,0.0
457,2.074068,67.0,233.0,0.0,8.0,499.0,6.0,553.0
458,3.090004,0.0,0.0,0.0,3.0,180.0,0.0,0.0
462,33.996367,318.0,0.0,0.0,3.0,402.0,0.0,0.0
464,0.040227,48.0,48.0,0.0,1.0,76.0,1.0,76.0
466,5.039612,78.0,103.0,0.0,2.0,134.0,1.0,131.0
467,3.127983,0.0,0.0,0.0,3.0,180.0,0.0,0.0
470,3.137246,0.0,0.0,0.0,3.0,180.0,0.0,0.0
472,3.135014,0.0,0.0,0.0,3.0,180.0,0.0,0.0
473,3.138448,0.0,0.0,0.0,3.0,180.0,0.0,0.0
478,3.098755,0.0,0.0,0.0,3.0,180.0,0.0,0.0
479,3.144722,0.0,0.0,0.0,3.0,180.0,0.0,0.0
481,3.125445,0.0,0.0,0.0,3.0,180.0,0.0,0.0
484,3.139999,0.0,0.0,0.0,3.0,180.0,0.0,0.0
485,0.01599,40.0,72.0,0.0,1.0,68.0,1.0,100.0
487,3.148211,0.0,0.0,0.0,3.0,180.0,0.0,0.0
488,3.13269,0.0,0.0,0.0,3.0,180.0,0.0,0.0
489,3.145456,0.0,0.0,0.0,3.0,180.0,0.0,0.0
490,3.132686,0.0,0.0,0.0,3.0,180.0,0.0,0.0
491,3.123214,0.0,0.0,0.0,3.0,180.0,0.0,0.0
492,3.086723,0.0,0.0,0.0,3.0,180.0,0.0,0.0
494,3.150719,0.0,0.0,0.0,3.0,180.0,0.0,0.0
495,3.116448,0.0,0.0,0.0,3.0,180.0,0.0,0.0
496,3.095012,0.0,0.0,0.0,3.0,180.0,0.0,0.0
497,3.107272,0.0,0.0,0.0,3.0,180.0,0.0,0.0
498,3.128453,0.0,0.0,0.0,3.0,180.0,0.0,0.0
499,5.003413,78.0,0.0,0.0,2.0,134.0,0.0,0.0
500,3.152211,0.0,0.0,0.0,3.0,180.0,0.0,0.0
501,3.111019,0.0,0.0,0.0,3.0,180.0,0.0,0.0
502,3.087521,0.0,0.0,0.0,3.0,180.0,0.0,0.0
503,3.124515,0.0,0.0,0.0,3.0,180.0,0.0,0.0
505,3.141227,0.0,0.0,0.0,3.0,180.0,0.0,0.0
509,3.121952,0.0,0.0,0.0,3.0,180.0,0.0,0.0
510,3.143715,0.0,0.0,0.0,3.0,180.0,0.0,0.0
511,3.126235,0.0,0.0,0.0,3.0,180.0,0.0,0.0
512,3.094226,0.0,0.0,0.0,3.0,180.0,0.0,0.0
514,3.108261,0.0,0.0,0.0,3.0,180.0,0.0,0.0
519,3.101713,0.0,0.0,0.0,3.0,180.0,0.0,0.0
520,3.156992,0.0,0.0,0.0,3.0,180.0,0.0,0.0
521,3.104492,0.0,0.0,0.0,3.0,180.0,0.0,0.0
522,3.242147,0.0,0.0,0.0,3.0,180.0,1.0,40.0
523,3.089972,0.0,0.0,0.0,3.0,180.0,0.0,0.0
524,45.017112,134.0,0.0,0.0,2.0,190.0,0.0,0.0
529,3.130992,0.0,0.0,0.0,3.0,180.0,0.0,0.0
530,3.114427,0.0,0.0,0.0,3.0,180.0,0.0,0.0
531,0.010991,45.0,45.0,0.0,1.0,73.0,1.0,73.0
533,3.092035,0.0,0.0,0.0,3.0,180.0,0.0,0.0
534,305.156469,146.0,775.0,0.0,11.0,606.0,5.0,987.0
535,0.013093,46.0,62.0,0.0,1.0,74.0,1.0,90.0
536,3.082054,0.0,0.0,0.0,3.0,180.0,0.0,0.0
537,3.107506,0.0,0.0,0.0,3.0,180.0,0.0,0.0
540,3.099457,0.0,0.0,0.0,3.0,180.0,0.0,0.0
543,3.156739,0.0,0.0,0.0,3.0,180.0,0.0,0.0
544,3.139215,0.0,0.0,0.0,3.0,180.0,0.0,0.0
545,20.000605,212.0,0.0,0.0,2.0,268.0,0.0,0.0
546,3.0967,0.0,0.0,0.0,3.0,180.0,0.0,0.0
549,3.106449,0.0,0.0,0.0,3.0,180.0,0.0,0.0
553,3.127186,0.0,0.0,0.0,3.0,180.0,0.0,0.0
555,3.156893,0.0,0.0,0.0,3.0,180.0,0.0,0.0
556,3.093253,0.0,0.0,0.0,3.0,180.0,0.0,0.0
558,3.082762,0.0,0.0,0.0,3.0,180.0,0.0,0.0
561,3.150008,0.0,0.0,0.0,3.0,180.0,0.0,0.0
562,3.115998,0.0,0.0,0.0,3.0,180.0,0.0,0.0
563,3.106738,0.0,0.0,0.0,3.0,180.0,0.0,0.0
564,3.158753,0.0,0.0,0.0,3.0,180.0,0.0,0.0
565,3.129929,0.0,0.0,0.0,3.0,180.0,0.0,0.0
566,3.120945,0.0,0.0,0.0,3.0,180.0,0.0,0.0
570,3.125511,0.0,0.0,0.0,3.0,180.0,0.0,0.0
573,3.125435,0.0,0.0,0.0,3.0,180.0,0.0,0.0
575,3.134288,0.0,0.0,0.0,3.0,180.0,0.0,0.0
580,3.110231,0.0,0.0,0.0,3.0,180.0,0.0,0.0
581,3.147688,0.0,0.0,0.0,3.0,180.0,0.0,0.0
583,3.095718,0.0,0.0,0.0,3.0,180.0,0.0,0.0
584,3.086272,0.0,0.0,0.0,3.0,180.0,0.0,0.0
585,3.106994,0.0,0.0,0.0,3.0,180.0,0.0,0.0
591,3.10853,0.0,0.0,0.0,3.0,180.0,0.0,0.0
592,3.122988,0.0,0.0,0.0,3.0,180.0,0.0,0.0
593,0.004489,96.0,96.0,0.0,2.0,152.0,2.0,152.0
596,3.088465,0.0,0.0,0.0,3.0,180.0,0.0,0.0
